movie_title,actor_1_name,actor_2_name,actor_3_name
Planet 51,Dwayne Johnson,Gary Oldman,James Corden
Star Trek: Nemesis ,Tom Hardy,LeVar Burton,Jonathan Frakes
Intolerable Cruelty ,Cedric the Entertainer,Paul Adelstein,Julia Duffy
Trouble with the Curve ,Clint Eastwood,Ed Lauter,Bob Gunton
Edge of Darkness ,Bojana Novakovic,Ray Winstone,Denis O'Hare
The Relic ,John Kapelos,Penelope Ann Miller,Chi Muoi Lo
Analyze That ,Robert De Niro,Cathy Moriarty,Joe Viterelli
Righteous Kill ,Robert De Niro,Al Pacino,50 Cent
Mercury Rising ,Bruce Willis,Miko Hughes,Carrie Preston
The Soloist ,Robert Downey Jr.,Stephen Root,Rachael Harris
The Legend of Bagger Vance ,Matt Damon,Will Smith,Charlize Theron
Almost Famous ,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano
Garfield 2,Bill Murray,Roger Rees,Ben Falcone
xXx: State of the Union ,Sunny Mabrey,Nona Gaye,Xzibit
Priest ,Josh Wingate,Alan Dale,Jacob Hopkins
Sinbad: Legend of the Seven Seas ,Brad Pitt,Adriano Giannini,Timothy West
Event Horizon ,Sean Pertwee,Joely Richardson,Kathleen Quinlan
The Avengers ,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Dragonfly ,Joe Morton,Susanna Thompson,Matt Craven
The Black Dahlia ,Scarlett Johansson,Mia Kirshner,Mike Starr
Flyboys ,James Franco,Tyler Labine,Philip Winchester
The Last Castle ,Clifton Collins Jr.,Delroy Lindo,Michael Irby
Supernova ,Robert Forster,Wilson Cruz,Vanessa Marshall
Winter's Tale ,Matt Bomer,William Hurt,Kevin Corrigan
The Mortal Instruments: City of Bones ,Aidan Turner,Kevin Zegers,CCH Pounder
Meet Dave ,Marc Blucas,Mike O'Malley,Shawn Christian
Dark Water ,Dougray Scott,Camryn Manheim,Ariel Gade
Edtv ,Matthew McConaughey,Adam Goldberg,Clint Howard
Inkheart ,Brendan Fraser,Stephen Graham,Jamie Foreman
The Spirit ,Scarlett Johansson,Jaime King,Louis Lombardi
Mortdecai ,Johnny Depp,Olivia Munn,Ulrich Thomsen
In the Name of the King: A Dungeon Siege Tale ,Jason Statham,Mike Dopud,Tania Saulnier
Beyond Borders ,Angelina Jolie Pitt,Teri Polo,Noah Emmerich
Xi you ji zhi: Sun Wukong san da Baigu Jing ,Li Gong,Aaron Kwok,Eddie Peng
The Great Raid ,James Franco,Clayne Crawford,Paolo Montalban
Deadpool ,Ryan Reynolds,Ed Skrein,Stefan Kapicic
Holy Man ,Kelly Preston,Morgan Fairchild,Eric McCormack
American Sniper ,Bradley Cooper,Leonard Roberts,Keir O'Donnell
Goosebumps ,Odeya Rush,Dylan Minnette,Ken Marino
"Sabrina, the Teenage Witch             ",Nate Richert,Soleil Moon Frye,Caroline Rhea
Just Like Heaven ,Jon Heder,Ivana Milicevic,Willie Garson
The Flintstones in Viva Rock Vegas ,Taylor Negron,Mark Addy,Danny Woodburn
Rambo III ,Sylvester Stallone,Kurtwood Smith,Richard Crenna
Leatherheads ,Robert Baker,Malcolm Goodwin,Matt Bushell
The Ridiculous 6,Taylor Lautner,Adam Sandler,Jon Lovitz
Did You Hear About the Morgans? ,Michael Kelly,Kim Shaw,Kevin Brown
The Internship ,Josh Gad,Jessica Szohr,Rob Riggle
Resident Evil: Afterlife ,Milla Jovovich,Boris Kodjoe,Shawn Roberts
Red Tails ,David Oyelowo,Nate Parker,Tristan Mack Wilds
Sex and the City             ,Chris Noth,Kristin Davis,Cynthia Nixon
The Devil's Advocate ,Keanu Reeves,Al Pacino,Charlize Theron
That's My Boy ,Adam Sandler,Leighton Meester,Will Forte
DragonHeart ,Dennis Quaid,Brian Thompson,Terry O'Neill
After the Sunset ,Salma Hayek,Don Cheadle,Chris Penn
Ghost Rider: Spirit of Vengeance ,Nicolas Cage,Spencer Wilding,Christopher Lambert
Captain Corelli's Mandolin ,Christian Bale,Irene Papas,Mihalis Giannatos
Anger Management             ,Barry Corbin,Noureen DeWulf,Brian Austin Green
The Pacifier ,Vin Diesel,Brad Garrett,Tate Donovan
Walking Tall ,Dwayne Johnson,Ashley Scott,Michael Bowen
Forrest Gump ,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson
Alvin and the Chipmunks ,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler
Meet the Parents ,Robert De Niro,Blythe Danner,Teri Polo
Pocahontas ,Christian Bale,Frank Welker,Irene Bedard
Superman ,Marlon Brando,Margot Kidder,Ned Beatty
The Nutty Professor ,Jada Pinkett Smith,James Coburn,Dave Chappelle
Hitch ,Will Smith,Michael Rapaport,Kevin Sussman
George of the Jungle ,Brendan Fraser,Abraham Benrubi,Holland Taylor
American Wedding ,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard
Captain Phillips ,Tom Hanks,Chris Mulkey,Michael Chernus
Date Night ,Mila Kunis,James Franco,Steve Carell
Casper ,Eric Idle,Fred Rogers,Cathy Moriarty
The Equalizer ,Denzel Washington,Chloë Grace Moretz,James Wilcox
Maid in Manhattan ,Bob Hoskins,Frances Conroy,Natasha Richardson
Crimson Tide ,Denzel Washington,Viggo Mortensen,Ricky Schroder
The Pursuit of Happyness ,Will Smith,Kurt Fuller,James Karen
Flightplan ,Erika Christensen,Michael Irby,Haley Ramm
Disclosure ,Demi Moore,Dylan Baker,Roma Maffia
City of Angels ,Nicolas Cage,Andre Braugher,Colm Feore
Kill Bill: Vol. 1,David Carradine,Vivica A. Fox,Chiaki Kuriyama
Bowfinger ,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy
Stargate SG-1,Christopher Judge,Don S. Davis,Gary Jones
Kill Bill: Vol. 2,Vivica A. Fox,Michael Parks,Michael Bowen
Tango & Cash ,Sylvester Stallone,Jack Palance,Brion James
Death Becomes Her ,Bruce Willis,Meryl Streep,Isabella Rossellini
Shanghai Noon ,Xander Berkeley,Jason Connery,Kate Luyben
Executive Decision ,Oliver Platt,Joe Morton,J.T. Walsh
Mr. Popper's Penguins ,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall
The Forbidden Kingdom ,Jet Li,Thomas McDonell,Michael Angarano
Free Birds ,Amy Poehler,Carlos Ponce,Dan Fogler
Alien 3,Charles S. Dutton,Holt McCallany,Paul McGann
Evita ,Andrea Corr,Jimmy Nail,Peter Polycarpou
Ronin ,Robert De Niro,Natascha McElhone,Michael Lonsdale
The Ghost and the Darkness ,Tom Wilkinson,Bernard Hill,Om Puri
Paddington ,Julie Walters,Matt Lucas,Sally Hawkins
The Watch ,Will Forte,Nicholas Braun,Rosemarie DeWitt
The Hunted ,Connie Nielsen,Jenna Boyd,Rex Linn
Instinct ,Anthony Hopkins,Maura Tierney,John Ashton
Stuck on You ,Matt Damon,Terence Bernie Hines,Seymour Cassel
Semi-Pro ,Will Ferrell,Maura Tierney,Matt Walsh
The Pirates! Band of Misfits ,Salma Hayek,Russell Tovey,Brian Blessed
Changeling ,Angelina Jolie Pitt,Michael Kelly,Colm Feore
Chain Reaction ,Keanu Reeves,Morgan Freeman,Kevin Dunn
The Fan ,Robert De Niro,Kurt Fuller,Ellen Barkin
The Phantom of the Opera ,Gerard Butler,Minnie Driver,Miranda Richardson
Elizabeth: The Golden Age ,Eddie Redmayne,Abbie Cornish,Jordi Mollà
Æon Flux ,Charlize Theron,Sophie Okonedo,Paterson Joseph
Gods and Generals ,Billy Campbell,Bruce Boxleitner,John Castle
Turbulence ,Hector Elizondo,Lauren Holly,Jeffrey DeMunn
Imagine That ,Stephen Root,Ronny Cox,Richard Schiff
Muppets Most Wanted ,Ty Burrell,Tina Fey,Hugh Bonneville
Thunderbirds ,Sophia Myles,Philip Winchester,Brady Corbet
Burlesque ,Eric Dane,Peter Gallagher,David Walton
A Very Long Engagement ,Denis Lavant,André Dussollier,Albert Dupontel
Lolita ,James Mason,Shelley Winters,Lois Maxwell
Eye See You ,Sylvester Stallone,Tom Berenger,Charles S. Dutton
Blade II ,Norman Reedus,Thomas Kretschmann,Tony Curran
Seven Pounds ,Will Smith,Rosario Dawson,Madison Pettis
Bullet to the Head ,Sylvester Stallone,Jason Momoa,Jon Seda
The Godfather: Part III ,Al Pacino,Joe Mantegna,Bridget Fonda
Elizabethtown ,Orlando Bloom,Kirsten Dunst,Judy Greer
"You, Me and Dupree ",Todd Stashwick,Billy Gardell,Amanda Detmer
Superman II ,Margot Kidder,Ned Beatty,Jackie Cooper
Gigli ,Todd Giebenhain,Lenny Venito,David Backus
All the King's Men ,Kate Winslet,Anthony Hopkins,Kevin Dunn
Shaft ,Christian Bale,Vanessa Williams,Daniel von Bargen
Anastasia ,Kirsten Dunst,Kelsey Grammer,Bernadette Peters
Moulin Rouge! ,Jim Broadbent,Kylie Minogue,Richard Roxburgh
Domestic Disturbance ,Steve Buscemi,Teri Polo,Matt O'Leary
Black Mass ,Johnny Depp,Benedict Cumberbatch,Adam Scott
Flags of Our Fathers ,Paul Walker,Chris Bauer,Tom McCarthy
Law Abiding Citizen ,Gerard Butler,Leslie Bibb,Michael Kelly
Grindhouse ,Quentin Tarantino,Rosario Dawson,Zoë Bell
Beloved ,Oprah Winfrey,Kimberly Elise,Hill Harper
Lucky You ,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee
Catch Me If You Can ,Leonardo DiCaprio,Tom Hanks,Jennifer Garner
Zero Dark Thirty ,Jennifer Ehle,Harold Perrineau,Parker Sawyers
The Break-Up ,Jon Favreau,John Michael Higgins,Ann-Margret
Mamma Mia! ,Colin Firth,Meryl Streep,Julie Walters
Valentine's Day ,Bradley Cooper,Taylor Lautner,Anne Hathaway
The Dukes of Hazzard ,Alice Greczyn,Jessica Simpson,Michael Weston
The Thin Red Line ,Nick Stahl,Miranda Otto,Dash Mihok
The Change-Up ,Ryan Reynolds,Olivia Wilde,Mircea Monroe
Man on the Moon ,Matt Price,Gerry Becker,Tom Dreesen
Casino ,Robert De Niro,Don Rickles,Kevin Pollak
From Paris with Love ,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan
Bulletproof Monk ,Jaime King,Mako,Victoria Smurfit
"Me, Myself & Irene ",Robert Forster,Tony Cox,Rob Moran
Barnyard ,Rob Paulsen,Wanda Sykes,Maurice LaMarche
Deck the Halls ,Matthew Broderick,Jorge Garcia,Alia Shawkat
The Twilight Saga: New Moon ,Robert Pattinson,Kristen Stewart,Taylor Lautner
Shrek ,Kathleen Freeman,Chris Miller,Bobby Block
The Adjustment Bureau ,Matt Damon,Michael Kelly,Jon Stewart
Robin Hood: Prince of Thieves ,Alan Rickman,Morgan Freeman,Michael Wincott
Jerry Maguire ,Tom Cruise,Kelly Preston,Bonnie Hunt
Ted ,Mila Kunis,Seth MacFarlane,Tom Skerritt
As Good as It Gets ,Lupe Ontiveros,Yeardley Smith,Shirley Knight
Patch Adams ,Robin Williams,Philip Seymour Hoffman,Monica Potter
Anchorman 2: The Legend Continues,Harrison Ford,Will Ferrell,Steve Carell
Mr. Deeds ,Steve Buscemi,Adam Sandler,Peter Gallagher
Super 8,Joel Courtney,AJ Michalka,Zach Mills
Erin Brockovich ,Julia Roberts,Albert Finney,Conchata Ferrell
How to Lose a Guy in 10 Days,Matthew McConaughey,Adam Goldberg,Thomas Lennon
22 Jump Street,Channing Tatum,Craig Roberts,Amber Stevens West
Interview with the Vampire: The Vampire Chronicles ,Brad Pitt,Tom Cruise,Kirsten Dunst
Yes Man ,Bradley Cooper,Zooey Deschanel,Danny Masterson
Central Intelligence ,Dwayne Johnson,Thomas Kretschmann,Megan Park
Stepmom ,Julia Roberts,Liam Aiken,Herbert Russell
Daddy's Home ,Will Ferrell,Linda Cardellini,Mark L. Young
Into the Woods ,Johnny Depp,Meryl Streep,Anna Kendrick
Inside Man ,Denzel Washington,James Ransone,Peter Gerety
Payback ,Bill Duke,Deborah Kara Unger,William Devane
Congo ,Dylan Walsh,Joe Don Baker,Grant Heslov
We Bought a Zoo ,Scarlett Johansson,Matt Damon,Stephanie Szostak
Knowing ,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury
Failure to Launch ,Bradley Cooper,Matthew McConaughey,Zooey Deschanel
The Ring Two ,Naomi Watts,Gary Cole,Sissy Spacek
"Crazy, Stupid, Love. ",Ryan Gosling,Emma Stone,Steve Carell
Garfield ,Bill Murray,Mark Christopher Lawrence,Michael Monks
Christmas with the Kranks ,Jamie Lee Curtis,Cheech Marin,Jake Busey
Moneyball ,Philip Seymour Hoffman,Robin Wright,Brad Pitt
Outbreak ,Kevin Spacey,Morgan Freeman,Rene Russo
Non-Stop ,Liam Neeson,Nate Parker,Scoot McNairy
Race to Witch Mountain ,Dwayne Johnson,Billy Brown,Tom Everett Scott
V for Vendetta ,Natalie Portman,Eddie Marsan,Rupert Graves
Shanghai Knights ,Fann Wong,Anna-Louise Plowman,Georgina Chapman
Unforgotten             ,Bernard Hill,Gemma Jones,Nicola Walker
Curious George ,Will Ferrell,Frank Welker,Alexander Gould
Herbie Fully Loaded ,Scoot McNairy,Thomas Lennon,Cheryl Hines
Don't Say a Word ,Oliver Platt,Jennifer Esposito,Conrad Goode
Hansel & Gretel: Witch Hunters ,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal
Unfaithful ,Olivier Martinez,Erik Per Sullivan,Chad Lowe
I Am Number Four ,Alex Pettyfer,Emily Wickersham,Reuben Langdon
Syriana ,Matt Damon,Amr Waked,Kayvan Novak
13 Hours,Toby Stephens,James Badge Dale,David Costabile
The Book of Life ,Channing Tatum,Hector Elizondo,Ana de la Reguera
Firewall ,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub
Absolute Power ,Clint Eastwood,Mark Margolis,Scott Glenn
G.I. Jane ,Viggo Mortensen,Demi Moore,John Michael Higgins
The Game ,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet
Silent Hill ,Radha Mitchell,Deborah Kara Unger,Alice Krige
The Replacements ,Keanu Reeves,Jon Favreau,Faizon Love
American Reunion ,Alyson Hannigan,Dania Ramirez,Natasha Lyonne
The Negotiator ,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan
Into the Storm ,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence
Beverly Hills Cop III ,Louis Lombardi,Jon Tenney,Gilbert R. Hill
Gremlins 2: The New Batch,Christopher Lee,Robert Picardo,Phoebe Cates
The Judge ,Robert Downey Jr.,Robert Duvall,Leighton Meester
The Peacemaker ,Armin Mueller-Stahl,Holt McCallany,Marcel Iures
Resident Evil: Apocalypse ,Milla Jovovich,Thomas Kretschmann,Mike Epps
Bridget Jones: The Edge of Reason ,Colin Firth,Jim Broadbent,Celia Imrie
Out of Time ,Denzel Washington,Sanaa Lathan,John Billingsley
On Deadly Ground ,Mike Starr,Joan Chen,Sven-Ole Thorsen
The Adventures of Sharkboy and Lavagirl 3-D,Taylor Lautner,Kristin Davis,Taylor Dooley
The Beach ,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills
Raising Helen ,Amber Valletta,Felicity Huffman,Spencer Breslin
Ninja Assassin ,Shô Kosugi,Ben Miles,Rain
For Love of the Game ,J.K. Simmons,Kelly Preston,Carmine Giovinazzo
A Touch of Frost             ,David Jason,Bruce Alexander,John Lyons
Striptease ,Demi Moore,Rumer Willis,Paul Guilfoyle
Marmaduke ,Emma Stone,Judy Greer,Steve Coogan
Hereafter ,Matt Damon,Jay Mohr,Cécile De France
Murder by Numbers ,Ryan Gosling,Chris Penn,Agnes Bruckner
Assassins ,Muse Watson,Sylvester Stallone,Kelly Rowan
Hannibal Rising ,Li Gong,Stephen Walters,Richard Brake
The Story of Us ,Bruce Willis,Tim Matheson,Rita Wilson
The Host ,J.D. Evermore,Chandler Canterbury,Rachel Roberts
Basic ,Connie Nielsen,Harry Connick Jr.,Tim Daly
Blood Work ,Clint Eastwood,Anjelica Huston,Rick Hoffman
The International ,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl
Escape from L.A. ,Steve Buscemi,Valeria Golino,Michelle Forbes
Twisted             ,Grey Damon,Brittany Curran,Aaron Hill
The Iron Giant ,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh
The Life Aquatic with Steve Zissou ,Bill Murray,Anjelica Huston,Matthew Gray Gubler
Free State of Jones ,Matthew McConaughey,Donald Watkins,Jessica Collins
The Life of David Gale ,Kevin Spacey,Kate Winslet,Matt Craven
Man of the House ,Christina Milian,Vanessa Ferlito,Kelli Garner
Run All Night ,Liam Neeson,Common,Bruce McGill
Eastern Promises ,Viggo Mortensen,Naomi Watts,Raza Jaffrey
Into the Blue ,Paul Walker,James Frain,Ashley Scott
The Messenger: The Story of Joan of Arc ,Paul Brooke,David Bailie,Rab Affleck
Your Highness ,Natalie Portman,Zooey Deschanel,James Franco
Dream House ,Naomi Watts,Gregory Smith,Sarah Gadon
Mad City ,Mia Kirshner,Blythe Danner,William Atherton
Baby's Day Out ,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon
The Scarlet Letter ,Gary Oldman,Robert Duvall,Demi Moore
Fair Game ,Naomi Watts,Ty Burrell,Brooke Smith
Defiance             ,Julie Benz,Tony Curran,Grant Bowler
Domino ,Ian Ziering,Mo'Nique,Edgar Ramírez
Jade ,Michael Biehn,Chazz Palminteri,Linda Fiorentino
Gamer ,Gerard Butler,Logan Lerman,Alison Lohman
Beautiful Creatures ,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince
Death to Smoochy ,Robin Williams,Vincent Schiavelli,Danny Woodburn
Zoolander 2,Milla Jovovich,Will Ferrell,Justin Theroux
The Big Bounce ,Morgan Freeman,Andrew Wilson,Willie Nelson
What Planet Are You From? ,Judy Greer,Linda Fiorentino,Garry Shandling
Drive Angry ,Nicolas Cage,Billy Burke,Katy Mixon
Street Fighter: The Legend of Chun-Li ,Chris Klein,Robin Shou,Josie Ho
The One ,Jason Statham,Jet Li,Delroy Lindo
Outlander             ,Tobias Menzies,Graham McTavish,Stephen Walters
The Adventures of Ford Fairlane ,Lauren Holly,Gilbert Gottfried,David Patrick Kelly
Pirate Radio ,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge
Traffic ,Michael O'Neill,Jacob Vargas,James Lew
Indiana Jones and the Last Crusade ,Harrison Ford,Julian Glover,Alison Doody
Anna Karenina ,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen
Chappie ,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo
The Bone Collector ,Denzel Washington,Angelina Jolie Pitt,Leland Orser
Panic Room ,Kristen Stewart,Dwight Yoakam,Mel Rodriguez
The Tooth Fairy ,P.J. Soles,Lochlyn Munro,Steve Bacic
Three Kings ,Judy Greer,Jamie Kennedy,Mykelti Williamson
Child 44,Tom Hardy,Fares Fares,Michael Nardone
Rat Race ,Corinna Harney,Douglas Haase,Vince Vieluf
K-PAX ,Kevin Spacey,Jeff Bridges,Alfre Woodard
Kate & Leopold ,Hugh Jackman,Natasha Lyonne,Bradley Whitford
Bedazzled ,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray
The Cotton Club ,Nicolas Cage,Bob Hoskins,Fred Gwynne
3:10 to Yuma,Christian Bale,Logan Lerman,Gretchen Mol
Taken 3,Liam Neeson,Dougray Scott,Jon Gries
Out of Sight ,Don Cheadle,Albert Brooks,Keith Hudson
The Cable Guy ,Matthew Broderick,Janeane Garofalo,Andy Dick
Earth ,Nandita Das,Gulshan Grover,Eric Peterson
Dick Tracy ,Charlie Korsmo,Warren Beatty,Seymour Cassel
The Thomas Crown Affair ,Mark Margolis,Faye Dunaway,Denis Leary
Riding in Cars with Boys ,Rosie Perez,Adam Garcia,Alissa Dean
First Blood ,Sylvester Stallone,Brian Dennehy,Chris Mulkey
Solaris ,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk
Happily N'Ever After ,Sarah Michelle Gellar,George Carlin,Rob Paulsen
Mary Reilly ,Julia Roberts,Bronagh Gallagher,George Cole
My Best Friend's Wedding ,Julia Roberts,Christopher Masterson,Rupert Everett
America's Sweethearts ,Julia Roberts,Rainn Wilson,Larry King
Insomnia ,Al Pacino,Maura Tierney,Crystal Lowe
Star Trek: First Contact ,LeVar Burton,Alfre Woodard,Jonathan Frakes
Jonah Hex ,Michael Fassbender,Billy Blair,Julia Jones
Courage Under Fire ,Denzel Washington,Matt Damon,Scott Glenn
Liar Liar ,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb
The Infiltrator ,Joseph Gilgun,Amy Ryan,Olympia Dukakis
Inchon ,Laurence Olivier,Ben Gazzara,Jacqueline Bisset
The Flintstones ,Jonathan Winters,Elizabeth Perkins,Harvey Korman
Taken 2,Liam Neeson,Luke Grimes,D.B. Sweeney
Scary Movie 3,Regina Hall,Pamela Anderson,Jenny McCarthy
Miss Congeniality ,Candice Bergen,Wendy Raquel Robinson,Heather Burns
Journey to the Center of the Earth ,Josh Hutcherson,Brendan Fraser,Anita Briem
The Princess Diaries 2: Royal Engagement,Anne Hathaway,Raven-Symoné,Hector Elizondo
The Pelican Brief ,Denzel Washington,Julia Roberts,Tony Goldwyn
The Client ,Bradley Whitford,Anthony LaPaglia,Brad Renfro
The Bucket List ,Morgan Freeman,Noel Gugliemi,Sean Hayes
Patriot Games ,Harrison Ford,Polly Walker,Patrick Bergin
Monster-in-Law ,Adam Scott,Jane Fonda,Elaine Stritch
Prisoners ,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette
Training Day ,Denzel Washington,Snoop Dogg,Tom Berenger
Galaxy Quest ,Alan Rickman,Enrico Colantoni,Robin Sachs
Scary Movie 2,Natasha Lyonne,Veronica Cartwright,Andy Richter
The Muppets ,Bill Cobbs,Eric Jacobson,Steve Whitmire
Blade ,Sanaa Lathan,Traci Lords,Udo Kier
Coach Carter ,Channing Tatum,Rick Gonzalez,Robert Ri'chard
Changing Lanes ,Sydney Pollack,Matt Malloy,Bruce Altman
Anaconda ,Frank Welker,Eric Stoltz,Kari Wuhrer
Coyote Ugly ,Adam Garcia,Tyra Banks,Izabella Miko
Love Actually ,Colin Firth,Liam Neeson,Kris Marshall
A Bug's Life ,Kevin Spacey,Madeline Kahn,John Ratzenberger
From Hell ,Johnny Depp,Jason Flemyng,Ian Richardson
The Specialist ,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.
Tin Cup ,Don Johnson,Cheech Marin,Rene Russo
"Yours, Mine and Ours ",Lucille Ball,Tom Bosley,Tim Matheson
Kicking & Screaming ,Josh Hutcherson,Will Ferrell,Robert Duvall
The Hitchhiker's Guide to the Galaxy ,Zooey Deschanel,Kelly Macdonald,Thomas Lennon
Fat Albert ,Dania Ramirez,Nick Zano,Alice Greczyn
Resident Evil: Extinction ,Milla Jovovich,Mike Epps,James Tumminia
Blended ,Bella Thorne,Adam Sandler,Joel McHale
Last Holiday ,LL Cool J,Alicia Witt,Timothy Hutton
The River Wild ,Meryl Streep,Glenn Morshower,William Lucking
The Indian in the Cupboard ,Steve Coogan,Vincent Kartheiser,David Keith
Savages ,Demián Bichir,Shea Whigham,Gary Stretch
Cellular ,Richard Burgi,Valerie Cruz,Will Beinbrink
Johnny English ,Kevin McNally,Natalie Imbruglia,Ben Miller
The Ant Bully ,Nicolas Cage,Meryl Streep,Julia Roberts
Dune ,Virginia Madsen,Jürgen Prochnow,José Ferrer
Across the Universe ,Jim Sturgess,T.V. Carpio,Robert Clohessy
Revolutionary Road ,Leonardo DiCaprio,Kate Winslet,Joe Komara
16 Blocks,Bruce Willis,David Zayas,Sasha Roiz
Babylon A.D. ,Vin Diesel,Charlotte Rampling,David Belle
The Glimmer Man ,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans
Multiplicity ,John de Lancie,Brian Doyle-Murray,Obba Babatundé
Aliens in the Attic ,Malese Jow,Carter Jenkins,Tim Meadows
The Pledge ,Costas Mandylor,Adrien Dorval,Nels Lennarson
The Producers ,Jon Lovitz,Will Ferrell,Matthew Broderick
Dredd ,Wood Harris,Jason Cope,Rakie Ayola
The Phantom ,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson
All the Pretty Horses ,Matt Damon,Henry Thomas,Sam Shepard
Nixon ,Anthony Hopkins,Bob Hoskins,Joan Allen
The Ghost Writer ,Jim Belushi,Olivia Williams,Timothy Hutton
Deep Rising ,Djimon Hounsou,Jason Flemyng,Wes Studi
Miracle at St. Anna ,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso
Curse of the Golden Flower ,Li Gong,Ye Liu,Man Li
Bangkok Dangerous ,Nicolas Cage,Charlie Yeung,James With
Big Trouble ,Zooey Deschanel,Janeane Garofalo,Omar Epps
Love in the Time of Cholera ,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde
The Returned             ,Pierre Perrier,Clotilde Hesme,Céline Sallette
Shadow Conspiracy ,Sam Waterston,Ben Gazzara,Nicholas Turturro
Johnny English Reborn ,Daniel Kaluuya,Tim McInnerny,Togo Igawa
Foodfight! ,Jerry Stiller,Larry Miller,Harvey Fierstein
Argo ,Clea DuVall,Scoot McNairy,Tate Donovan
The Fugitive ,Harrison Ford,Daniel Roebuck,Sela Ward
The Bounty Hunter ,Gerard Butler,Dorian Missick,Peter Greene
Sleepers ,Robert De Niro,Brad Pitt,Minnie Driver
Rambo: First Blood Part II ,Sylvester Stallone,Julia Nickson,Martin Kove
The Juror ,Joseph Gordon-Levitt,Demi Moore,Anne Heche
Pinocchio ,Mel Blanc,Dickie Jones,Cliff Edwards
Heaven's Gate ,Jeff Bridges,Sam Waterston,Isabelle Huppert
Underworld: Evolution ,Sophia Myles,Tony Curran,Derek Jacobi
Victor Frankenstein ,Daniel Radcliffe,Spencer Wilding,Daniel Mays
Finding Forrester ,F. Murray Abraham,Rob Brown,Michael Nouri
28 Days,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins
Unleashed ,Morgan Freeman,Jet Li,Bob Hoskins
The Sweetest Thing ,Judith Chapman,Lillian Adams,Chelsea Bond
The Firm ,Tom Cruise,Holly Hunter,Wilford Brimley
Charlie St. Cloud ,Augustus Prew,Charlie Tahan,Valerie Tian
The Mechanic ,Jason Statham,Tony Goldwyn,Mini Anden
21 Jump Street,Channing Tatum,Dax Flame,Rob Riggle
Notting Hill ,Julia Roberts,Clarke Peters,Dylan Moran
Chicken Run ,Imelda Staunton,Miranda Richardson,Julia Sawalha
Along Came Polly ,Philip Seymour Hoffman,Masi Oka,Debra Messing
Boomerang ,John Witherspoon,Eartha Kitt,Geoffrey Holder
The Heat ,Michael Rapaport,William Xifaras,Demián Bichir
Cleopatra ,Martin Landau,Richard Burton,Roddy McDowall
Here Comes the Boom ,Salma Hayek,Reggie Lee,Charice
High Crimes ,Morgan Freeman,Adam Scott,Bruce Davison
The Mirror Has Two Faces ,Jeff Bridges,Austin Pendleton,Mimi Rogers
The Mothman Prophecies ,Debra Messing,Will Patton,David Eigenberg
Brüno ,Bono,Elton John,Slash
Licence to Kill ,Robert Davi,Talisa Soto,Anthony Zerbe
Red Riding Hood ,Gary Oldman,Billy Burke,Virginia Madsen
15 Minutes,Robert De Niro,Charlize Theron,Kelsey Grammer
Super Mario Bros. ,Bob Hoskins,Fisher Stevens,Fiona Shaw
Lord of War ,Nicolas Cage,Jeremy Crutchley,Jared Burke
Hero ,Jet Li,Tony Chiu Wai Leung,Maggie Cheung
One for the Money ,Fisher Stevens,Debbie Reynolds,Patrick Fischler
The Interview ,James Franco,Randall Park,Anders Holm
The Warrior's Way ,Tony Cox,Dong-gun Jang,Jed Brophy
McHale's Navy             ,Tim Conway,Gavin MacLeod,Bob Hastings
Micmacs ,Omar Sy,Dany Boon,André Dussollier
8 Mile,Mekhi Phifer,Omar Benson Miller,Evan Jones
